11, 1 0.5 2 0.5 3 0.5 4 0.333333 5 0.333333 6 0.25 7 0.25 8 0.2 9 0.2 10 0.2 11 0.166667 12 0.166667 13 0.142857 14 0.142857 15 0.125 16 0.125 17 0.111111 18 0.111111 19 0.111111 20 0.1 21 0.1 22 0.090909 23 0.090909 24 0.083333 25 0.083333;
12, 1 0.5 2 0.5 3 0.5 4 0.333333 5 0.333333 6 0.25 7 0.25 8 0.2 9 0.2 10 0.166667 11 0.166667 12 0.142857 13 0.142857 14 0.125 15 0.125 16 0.111111 17 0.111111 18 0.1 19 0.1 20 0.090909 21 0.090909 22 0.083333 23 0.083333 24 0.076923 25 0.076923;
13, 1 0.5 2 0.5 3 0.333333 4 0.333333 5 0.25 6 0.25 7 0.2 8 0.2 9 0.166667 10 0.166667 11 0.142857 12 0.142857 13 0.125 14 0.125 15 0.111111 16 0.111111 17 0.1 18 0.1 19 0.090909 20 0.090909 21 0.083333 22 0.083333 23 0.076923 24 0.076923 25 0.071429;
14, 1 0.5 2 0.5 3 0.333333 4 0.333333 5 0.25 6 0.25 7 0.2 8 0.2 9 0.166667 10 0.142857 11 0.142857 12 0.125 13 0.125 14 0.111111 15 0.111111 16 0.1 17 0.1 18 0.090909 19 0.083333 20 0.083333 21 0.076923 22 0.076923 23 0.071429 24 0.071429 25 0.066667;
15, 1 0.5 2 0.5 3 0.333333 4 0.333333 5 0.25 6 0.2 7 0.2 8 0.166667 9 0.166667 10 0.142857 11 0.125 12 0.125 13 0.111111 14 0.111111 15 0.1 16 0.090909 17 0.090909 18 0.083333 19 0.083333 20 0.076923 21 0.071429 22 0.071429 23 0.066667 24 0.066667 25 0.0625;
16, 1 0.5 2 0.5 3 0.333333 4 0.333333 5 0.25 6 0.2 7 0.2 8 0.166667 9 0.142857 10 0.142857 11 0.125 12 0.111111 13 0.111111 14 0.1 15 0.1 16 0.090909 17 0.083333 18 0.083333 19 0.076923 20 0.071429 21 0.071429 22 0.066667 23 0.0625 24 0.0625 25 0.058824;
17, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.25 6 0.2 7 0.166667 8 0.166667 9 0.142857 10 0.125 11 0.125 12 0.111111 13 0.1 14 0.1 15 0.090909 16 0.083333 17 0.083333 18 0.076923 19 0.071429 20 0.071429 21 0.066667 22 0.0625 23 0.0625 24 0.058824 25 0.055556;
18, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.25 6 0.2 7 0.166667 8 0.142857 9 0.142857 10 0.125 11 0.111111 12 0.111111 13 0.1 14 0.090909 15 0.083333 16 0.083333 17 0.076923 18 0.071429 19 0.071429 20 0.066667 21 0.0625 22 0.058824 23 0.058824 24 0.055556 25 0.052632;
19, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.2 6 0.2 7 0.166667 8 0.142857 9 0.125 10 0.125 11 0.111111 12 0.1 13 0.090909 14 0.090909 15 0.083333 16 0.076923 17 0.071429 18 0.071429 19 0.066667 20 0.0625 21 0.058824 22 0.058824 23 0.055556 24 0.052632 25 0.05;
20, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.2 6 0.166667 7 0.166667 8 0.142857 9 0.125 10 0.111111 11 0.1 12 0.1 13 0.090909 14 0.083333 15 0.076923 16 0.071429 17 0.071429 18 0.066667 19 0.0625 20 0.058824 21 0.055556 22 0.055556 23 0.052632 24 0.05 25 0.047619;
21, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.2 6 0.166667 7 0.142857 8 0.142857 9 0.125 10 0.111111 11 0.1 12 0.090909 13 0.083333 14 0.083333 15 0.076923 16 0.071429 17 0.066667 18 0.0625 19 0.058824 20 0.058824 21 0.055556 22 0.052632 23 0.05 24 0.047619 25 0.045455;
22, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.2 6 0.166667 7 0.142857 8 0.125 9 0.111111 10 0.111111 11 0.1 12 0.090909 13 0.083333 14 0.076923 15 0.071429 16 0.066667 17 0.0625 18 0.0625 19 0.058824 20 0.055556 21 0.052632 22 0.05 23 0.047619 24 0.045455 25 0.043478;
23, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.2 6 0.166667 7 0.142857 8 0.125 9 0.111111 10 0.1 11 0.090909 12 0.083333 13 0.076923 14 0.076923 15 0.071429 16 0.066667 17 0.0625 18 0.058824 19 0.055556 20 0.052632 21 0.05 22 0.047619 23 0.045455 24 0.043478 25 0.041667;
24, 1 0.5 2 0.5 3 0.333333 4 0.25 5 0.2 6 0.166667 7 0.142857 8 0.125 9 0.111111 10 0.1 11 0.090909 12 0.083333 13 0.076923 14 0.071429 15 0.066667 16 0.0625 17 0.058824 18 0.055556 19 0.052632 20 0.05 21 0.047619 22 0.045455 23 0.043478 24 0.041667 25 0.04;
25, 1 0.5 2 0.333333 3 0.25 4 0.2 5 0.166667 6 0.142857 7 0.125 8 0.111111 9 0.1 10 0.090909 11 0.083333 12 0.076923 13 0.071429 14 0.066667 15 0.0625 16 0.058824 17 0.055556 18 0.052632 19 0.05 20 0.047619 21 0.045455 22 0.043478 23 0.041667 24 0.04 25 0.038462;
